"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.9","dsgdetr_ant","full","-",15.62,29.41,31.59,31.59,9.12,18.06,19.65,19.65,28.64,40.69,62.89,66.99,17.39,26.24,45.19,61.27,9.5,11.28,11.3,11.3,6.54,8.01,8.02,8.02
"0.9","dsgdetr_ant","partial",40,25.15,37.87,39.91,39.91,10.92,20.64,22.34,22.34,28.03,43.48,61.75,66.17,16.4,25.84,44.56,60.29,13.51,13.59,13.59,13.59,4.48,4.52,4.52,4.52
"0.9","dsgdetr_ant","labelnoise",20,18.85,30.7,32.72,32.72,7.49,13.36,14.51,14.51,26.13,38.11,60.3,66.45,12.26,17.78,33.04,53.27,6.53,6.56,6.56,6.56,2.52,2.53,2.53,2.53
"0.9","sttran_gen_ant","full","-",24.56,39.81,42.9,42.9,9.83,20.91,23.47,23.47,30.21,45.79,64.43,68.44,18.23,27.46,47.22,62.77,18.97,21.89,21.92,21.92,7.09,9.37,9.39,9.39
"0.9","sttran_gen_ant","partial",40,24.73,39.45,42.46,42.46,12.31,25.48,28.23,28.23,29.27,47.08,64.48,68.31,20.49,31.77,51.93,63.76,14.42,14.57,14.57,14.57,5.7,5.82,5.82,5.82
"0.9","sttran_gen_ant","labelnoise",20,24.39,38.94,41.91,41.91,7.81,15.95,17.93,17.93,30.12,45.45,62.49,67.74,13.83,20.22,38.07,54.6,13.27,13.51,13.51,13.51,3.26,3.4,3.4,3.4
"0.9","dsgdetr_gen_ant","full","-",24.75,37.52,39.73,39.73,9.51,17.68,19.22,19.22,28.74,43.35,62.66,67.12,15.5,23.75,44.87,61.71,19.97,22.19,22.2,22.2,6.9,8.08,8.08,8.08
"0.9","dsgdetr_gen_ant","partial",40,23.98,36.17,38.51,38.51,12.38,24.79,27.01,27.01,27.41,43.84,62.9,67.4,20.54,32.27,52.36,62.97,13.21,13.25,13.25,13.25,4.38,4.41,4.41,4.41
"0.9","dsgdetr_gen_ant","labelnoise",20,15.41,29.17,31.61,31.61,7.84,14.81,16.14,16.14,28.17,41.5,62.28,67.33,13.58,20.18,37.48,54.71,2.53,2.55,2.55,2.55,2.69,2.69,2.69,2.69
"0.9","ode","full","-",20.98,36.01,43.21,43.24,7.05,15.59,20.97,20.99,37.77,49.08,61.4,66.16,18.94,28.57,45.18,58.35,16.35,19.25,19.56,19.56,5.13,6.87,7.17,7.17
"0.9","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","ode","labelnoise",20,20.08,34.97,42.7,42.73,6.19,12.87,16.95,16.96,38.58,48.91,60.48,66.0,16.42,23.6,37.8,53.55,13.7,15.05,15.1,15.1,3.78,4.19,4.21,4.21
"0.9","sde","full","-",20.97,36.35,43.89,43.95,7.38,15.97,21.1,21.13,38.55,49.9,61.88,66.49,19.05,29.01,45.65,59.35,17.62,21.96,22.44,22.44,5.79,8.19,8.58,8.58
"0.9","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sde","labelnoise",20,21.2,35.99,43.43,43.45,6.34,13.01,16.95,16.95,37.87,48.75,60.81,66.09,16.1,23.67,39.98,54.62,14.13,15.2,15.23,15.23,3.78,4.14,4.15,4.15
