"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.9","sttran_gen_ant","labelnoise",20,50.45,52.73,52.73,52.73,21.29,23.43,23.43,23.43,66.74,84.74,92.78,93.75,29.31,47.92,77.62,93.75,12.98,12.98,12.98,12.98,4.28,4.28,4.28,4.28
"0.9","dsgdetr_gen_ant","full","-",57.73,60.01,60.01,60.01,26.98,29.44,29.44,29.44,73.62,88.3,93.5,93.81,38.99,58.75,83.16,94.94,26.26,26.39,26.39,26.39,8.79,8.98,8.98,8.98
"0.9","dsgdetr_gen_ant","partial",40,56.99,59.09,59.09,59.09,37.0,40.14,40.14,40.14,73.08,87.39,93.45,93.78,49.96,67.6,88.8,94.7,20.05,20.05,20.05,20.05,8.33,8.33,8.33,8.33
"0.9","dsgdetr_gen_ant","labelnoise",20,55.04,57.26,57.27,57.27,19.26,21.08,21.08,21.08,69.72,85.5,92.88,93.77,27.89,47.54,78.57,93.92,23.63,23.64,23.64,23.64,5.45,5.46,5.46,5.46
"0.9","ode","full","-",58.51,60.64,60.64,60.64,25.15,27.65,27.65,27.65,73.02,87.17,93.31,93.79,37.21,54.33,81.49,94.7,29.92,30.02,30.02,30.02,10.48,10.6,10.6,10.6
"0.9","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","ode","labelnoise",20,58.65,60.9,60.9,60.9,20.87,23.18,23.18,23.18,71.94,85.7,92.71,93.72,29.04,46.78,76.88,93.23,24.62,24.65,24.65,24.65,6.8,6.81,6.81,6.81
"0.9","sde","full","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sde","labelnoise",20,57.92,60.21,60.21,60.21,21.23,23.77,23.77,23.77,72.4,86.56,92.84,93.75,30.72,48.96,77.95,93.54,22.86,22.88,22.88,22.88,6.87,6.89,6.89,6.89
