"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"dsgdetr","partial","10","fixed","Fixed","fog","3",33.13,34.36,34.37,34.37,28.33,31.81,31.88,31.88,42.61,56.04,62.06,62.64,43.82,53.0,61.7,62.93,38.68,44.59,45.19,45.19,31.8,45.67,48.25,48.25
"dsgdetr","partial","10","fixed","Fixed","frost","3",24.2,25.19,25.2,25.2,22.35,25.04,25.1,25.1,31.9,41.96,47.1,47.66,34.89,42.33,48.25,49.5,27.91,32.15,32.56,32.56,25.92,36.54,38.35,38.35
"dsgdetr","partial","10","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","spatter","3",30.31,31.52,31.53,31.53,24.66,27.45,27.51,27.51,38.58,50.61,56.09,56.6,37.43,46.13,55.75,57.45,34.74,40.12,40.67,40.67,27.91,39.34,41.41,41.41
"dsgdetr","partial","10","fixed","Fixed","contrast","3",27.91,28.94,28.95,28.95,24.86,27.74,27.81,27.81,36.88,48.96,54.59,55.12,37.93,46.0,54.32,55.5,32.75,37.78,38.28,38.28,27.49,38.56,40.57,40.57
"dsgdetr","partial","10","fixed","Fixed","brightness","3",36.45,37.79,37.79,37.79,29.77,33.17,33.23,33.23,45.52,59.88,66.14,66.76,44.98,55.44,65.3,66.84,42.06,48.55,49.19,49.19,33.71,48.08,50.59,50.59
"dsgdetr","partial","10","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","pixelate","3",32.85,34.08,34.09,34.09,27.73,30.47,30.5,30.5,43.8,57.68,64.08,64.68,42.55,52.83,63.06,64.83,38.27,44.5,45.13,45.13,31.43,44.53,46.7,46.7
"dsgdetr","partial","10","fixed","Fixed","jpeg_compression","3",31.72,32.93,32.94,32.94,26.6,29.29,29.36,29.36,41.86,55.12,61.48,62.02,40.8,50.51,60.18,63.68,36.58,42.52,43.12,43.12,29.75,42.06,44.04,44.04
"dsgdetr","partial","10","fixed","Fixed","sun_glare","3",19.38,20.11,20.11,20.11,17.33,19.42,19.44,19.44,25.75,34.27,38.51,38.95,26.62,32.22,37.33,38.36,22.87,26.41,26.78,26.78,19.42,27.64,28.97,28.97
"dsgdetr","partial","10","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","dust","3",18.43,19.11,19.11,19.11,16.63,18.55,18.57,18.57,25.15,32.9,36.83,37.28,25.9,31.0,37.02,37.85,21.62,24.82,25.13,25.13,19.11,26.33,27.44,27.44
"dsgdetr","partial","10","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","saturate","3",39.33,40.74,40.75,40.75,31.53,35.14,35.2,35.2,48.79,63.78,70.42,71.12,47.36,58.37,68.84,70.86,45.37,52.27,52.95,52.95,35.72,51.02,53.46,53.46
"dsgdetr","partial","10","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","mixed","fixed","Mixed","3",31.96,33.18,33.18,33.18,27.02,30.23,30.27,30.27,40.99,53.7,59.43,60.04,41.27,50.37,59.51,61.26,37.07,42.77,43.36,43.36,30.61,43.42,45.74,45.74
"dsgdetr","partial","10","mixed","mixed","Mixed","3",23.22,24.16,24.17,24.17,21.66,24.13,24.16,24.16,31.86,41.78,46.56,47.02,33.3,40.37,45.79,46.69,26.9,31.28,31.73,31.73,24.26,34.0,35.64,35.64
