"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"dsgdetr","partial","10","fixed","Fixed","shot_noise","3",47.11,49.87,49.89,49.89,37.05,43.09,43.22,43.22,62.9,84.42,98.68,99.91,56.32,74.39,89.29,98.24,55.44,67.33,69.14,69.14,40.79,61.57,66.37,66.37
"dsgdetr","partial","10","fixed","Fixed","impulse_noise","3",48.55,51.34,51.36,51.36,37.64,43.78,43.91,43.91,63.53,85.39,98.81,99.92,56.77,74.89,89.28,97.82,57.24,69.38,71.18,71.18,41.06,62.21,66.92,66.92
"dsgdetr","partial","10","fixed","Fixed","speckle_noise","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","gaussian_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","defocus_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","fog","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","frost","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","spatter","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","contrast","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","brightness","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
